"species_name","decimalLatitude","decimalLongitude"
"Centropogon_valerii",9.566667,-83.666667
"Centropogon_valerii",9.95,-83.84
"Centropogon_valerii",9.65527,-83.84833
"Centropogon_valerii",9.55527,-83.725
"Centropogon_valerii",9.79833,-83.99722
"Centropogon_valerii",9.604333,-83.761778
"Centropogon_valerii",9.55,-83.733333
"Centropogon_valerii",9.603889,-83.790833
"Centropogon_valerii",9.55916,-83.70305
"Centropogon_valerii",9.55,-83.73
"Centropogon_valerii",9.62,-84.18
"Centropogon_valerii",9.5,-83.75
"Centropogon_valerii",9.61386,-83.86014
"Centropogon_valerii",9.8333,-83.75
"Centropogon_valerii",9.566667,-83.733333
"Centropogon_valerii",9.621111,-83.854444
"Centropogon_valerii",9.616111,-83.863889
"Centropogon_valerii",9.616667,-83.819445
"Centropogon_valerii",9.627778,-83.852778
"Centropogon_valerii",9.53,-83.57
"Centropogon_valerii",9.954415,-83.855743
"Centropogon_valerii",9.6092059,-83.8386067
"Centropogon_valerii",9.67,-83.85
"Centropogon_valerii",9.53,-83.71
"Centropogon_valerii",9.59,-83.75
"Centropogon_valerii",9.56,-83.7
"Centropogon_valerii",9.6,-83.8
"Centropogon_valerii",9.56,-83.67
"Centropogon_valerii",9.62,-83.85
"Centropogon_valerii",9.61,-83.81
"Centropogon_valerii",9.56,-83.73
"Centropogon_valerii",9.56,-83.66
"Centropogon_valerii",9.59,-83.8
"Centropogon_valerii",9.61,-83.86
"Centropogon_valerii",9.6,-83.78
"Centropogon_valerii",9.58,-83.76
"Centropogon_valerii",9.55,-83.75
"Centropogon_valerii",9.78611,-83.68
"Centropogon_valerii",9.561111,-83.738889
"Centropogon_valerii",9.613861,-83.860139
"Centropogon_valerii",9.616778,-83.859861
"Centropogon_valerii",9.566667,-83.67
"Panterpe_insignis",8.8952,-82.6165
"Panterpe_insignis",9.98239,-83.84958
"Panterpe_insignis",10,-84
"Panterpe_insignis",8.4,-81.3
"Panterpe_insignis",9.2075,-83.44846
"Panterpe_insignis",8.5,-82.41667
"Panterpe_insignis",9.643621,-83.84994
"Panterpe_insignis",10.160131,-84.22762
"Panterpe_insignis",9.717759,-83.94931
"Panterpe_insignis",8.843602,-82.532646
"Panterpe_insignis",9.578091,-83.80164
"Panterpe_insignis",9.583578,-83.798386
"Panterpe_insignis",9.444665,-83.5302
"Panterpe_insignis",9.557348,-83.803535
"Panterpe_insignis",9.614735,-83.81935
"Panterpe_insignis",9.547522,-83.810196
"Panterpe_insignis",9.60596,-83.82256
"Panterpe_insignis",9.587921,-83.79937
"Panterpe_insignis",9.574662,-83.7571
"Panterpe_insignis",9.576778,-83.80009
"Panterpe_insignis",9.643991,-83.85084
"Panterpe_insignis",9.532975,-83.57122
"Panterpe_insignis",9.550544,-83.80806
"Panterpe_insignis",10.135322,-84.10912
"Panterpe_insignis",9.553175,-83.80962
"Panterpe_insignis",9.547496,-83.80188
"Panterpe_insignis",9.262547,-83.04547
"Panterpe_insignis",9.685242,-83.87639
"Panterpe_insignis",9.644635,-83.85041
"Panterpe_insignis",10.183734,-84.23595
"Panterpe_insignis",8.809656,-82.39527
"Panterpe_insignis",9.556806,-83.714645
"Panterpe_insignis",10.004921,-83.780304
"Panterpe_insignis",9.632689,-83.85344
"Panterpe_insignis",9.544867,-83.716415
"Panterpe_insignis",9.640557,-83.840515
"Panterpe_insignis",9.968924,-83.82551
"Panterpe_insignis",9.953331,-83.86192
"Panterpe_insignis",9.569999,-83.75398
"Panterpe_insignis",9.958397,-83.84578
"Panterpe_insignis",10.082276,-84.067665
"Panterpe_insignis",9.64418,-83.85033
"Panterpe_insignis",10.222149,-84.16725
"Panterpe_insignis",9.550539,-83.8075
"Panterpe_insignis",9.69607,-83.89224
"Panterpe_insignis",9.639962,-83.847946
"Panterpe_insignis",8.801872,-82.518654
"Panterpe_insignis",10.092423,-84.10943
"Panterpe_insignis",9.084198,-82.977036
"Panterpe_insignis",9.111678,-82.96172
"Panterpe_insignis",9.5582,-83.72393
"Panterpe_insignis",8.869614,-82.56572
"Panterpe_insignis",10.305865,-84.80874
"Panterpe_insignis",9.633957,-83.853455
"Panterpe_insignis",9.877541,-84.14875
"Panterpe_insignis",9.55473,-83.66756
"Panterpe_insignis",9.957899,-83.845955
"Panterpe_insignis",9.55454,-83.75607
"Panterpe_insignis",9.552448,-83.80572
"Panterpe_insignis",9.565008,-83.80108
"Panterpe_insignis",9.470549,-83.58363
"Panterpe_insignis",10.006078,-83.75835
"Panterpe_insignis",10.30264,-84.79569
"Panterpe_insignis",8.874876,-82.547195
"Panterpe_insignis",9.556977,-83.70926
"Panterpe_insignis",10.035402,-83.726326
"Panterpe_insignis",10.003572,-83.75804
"Panterpe_insignis",9.60402,-83.79088
"Panterpe_insignis",9.636924,-83.849434
"Panterpe_insignis",9.624784,-83.909454
"Panterpe_insignis",10.17487,-84.31777
"Panterpe_insignis",9.56988,-83.75852
"Panterpe_insignis",10.324056,-84.815956
"Panterpe_insignis",9.644305,-83.85021
"Panterpe_insignis",9.580428,-83.798805
"Panterpe_insignis",10.199379,-84.23029
"Panterpe_insignis",10.077501,-84.08534
"Panterpe_insignis",10.000571,-83.773895
"Panterpe_insignis",10.081767,-84.07771
"Panterpe_insignis",9.616246,-83.80938
"Panterpe_insignis",10.162105,-84.20375
"Panterpe_insignis",10.169918,-84.232025
"Panterpe_insignis",9.553741,-83.69013
"Panterpe_insignis",9.71113,-83.94763
"Panterpe_insignis",10.018476,-83.75957
"Panterpe_insignis",10.030893,-84.03809
"Panterpe_insignis",10.380103,-84.72849
"Panterpe_insignis",9.978826,-83.84543
"Panterpe_insignis",9.644513,-83.85041
"Panterpe_insignis",8.875081,-82.54737
"Panterpe_insignis",9.340465,-83.37339
"Panterpe_insignis",8.875775,-82.55352
"Panterpe_insignis",9.67738,-83.8869
"Panterpe_insignis",8.812821,-82.48312
"Panterpe_insignis",9.471444,-83.69836
"Panterpe_insignis",8.88382,-82.68463
"Panterpe_insignis",10.162844,-84.22937
"Panterpe_insignis",9.546783,-83.81264
"Panterpe_insignis",9.551007,-83.80822
"Panterpe_insignis",9.560125,-83.732124
"Panterpe_insignis",9.500349,-83.63256
"Panterpe_insignis",9.633118,-83.85384
"Panterpe_insignis",10.000962,-83.744415
"Panterpe_insignis",10.20574,-84.31723
"Panterpe_insignis",9.671653,-83.867325
"Panterpe_insignis",10.17618,-84.111465
"Panterpe_insignis",9.582503,-83.76635
"Panterpe_insignis",9.957325,-83.885414
"Panterpe_insignis",9.589312,-83.80067
"Panterpe_insignis",10.192875,-84.214325
"Panterpe_insignis",10.203823,-84.161835
"Panterpe_insignis",9.668654,-83.864845
"Panterpe_insignis",9.662438,-83.86559
"Panterpe_insignis",9.55394,-83.68994
"Panterpe_insignis",10.022795,-83.76999
"Panterpe_insignis",9.716521,-83.93748
"Panterpe_insignis",9.677783,-83.88749
"Panterpe_insignis",8.776087,-82.53655
"Panterpe_insignis",9.588061,-83.799545
"Panterpe_insignis",10.162382,-84.22641
"Panterpe_insignis",9.561575,-83.740654
"Panterpe_insignis",9.644303,-83.85254
"Panterpe_insignis",9.558873,-83.6875
"Panterpe_insignis",10.149295,-84.56866
"Panterpe_insignis",9.591208,-83.79859
"Panterpe_insignis",9.997415,-83.926735
"Panterpe_insignis",9.988003,-83.84089
"Panterpe_insignis",9.550525,-83.807465
"Panterpe_insignis",8.890471,-82.61041
"Panterpe_insignis",9.557273,-83.72366
"Panterpe_insignis",9.701504,-83.94061
"Panterpe_insignis",9.98819,-83.77573
"Panterpe_insignis",10.202895,-84.48463
"Panterpe_insignis",8.872627,-82.58511
"Panterpe_insignis",9.546515,-83.813225
"Panterpe_insignis",10.1783,-84.23097
"Panterpe_insignis",9.257805,-83.392296
"Panterpe_insignis",9.559238,-83.717964
"Panterpe_insignis",9.725111,-83.934616
"Panterpe_insignis",9.64005,-83.84797
"Panterpe_insignis",9.619144,-83.82639
"Panterpe_insignis",9.989645,-83.7748
"Panterpe_insignis",10.162597,-84.206604
"Panterpe_insignis",10.185036,-84.3473
"Panterpe_insignis",8.813969,-82.53502
"Panterpe_insignis",9.555935,-83.704994
"Panterpe_insignis",10.167899,-84.23313
"Panterpe_insignis",9.578258,-83.80191
"Panterpe_insignis",9.641088,-83.85374
"Panterpe_insignis",8.826258,-82.48361
"Panterpe_insignis",10.007396,-83.71423
"Panterpe_insignis",9.64374,-83.84974
"Panterpe_insignis",9.550883,-83.80722
"Panterpe_insignis",9.56463,-83.80153
"Panterpe_insignis",10.30702,-84.80974
"Panterpe_insignis",8.809658,-82.52744
"Panterpe_insignis",9.478355,-83.48733
"Panterpe_insignis",9.476229,-83.6793
"Panterpe_insignis",9.680391,-83.88156
"Panterpe_insignis",9.540536,-83.86796
"Panterpe_insignis",9.606335,-83.76951
"Panterpe_insignis",8.80901,-82.526955
"Panterpe_insignis",10.086406,-84.071724
"Panterpe_insignis",9.470729,-83.58348
"Panterpe_insignis",9.959263,-83.84225
"Panterpe_insignis",9.636618,-83.84989
"Panterpe_insignis",10.156886,-84.196
"Panterpe_insignis",10.302437,-84.79611
"Panterpe_insignis",8.849152,-82.50208
"Panterpe_insignis",8.867433,-82.560196
"Panterpe_insignis",9.554273,-83.75526
"Panterpe_insignis",9.94508,-83.86262
"Panterpe_insignis",9.743057,-83.96046
"Panterpe_insignis",9.571627,-83.80158
"Panterpe_insignis",9.975163,-83.79541
"Panterpe_insignis",10.091514,-84.14871
"Panterpe_insignis",8.809931,-82.39579
"Panterpe_insignis",9.612638,-83.81755
"Panterpe_insignis",9.64319,-83.84554
"Panterpe_insignis",9.978443,-83.83986
"Panterpe_insignis",10.165367,-84.10984
"Panterpe_insignis",10.245641,-84.35944
"Panterpe_insignis",9.637644,-83.84924
"Panterpe_insignis",9.598545,-83.79618
"Panterpe_insignis",9.639289,-83.841896
"Panterpe_insignis",10.132749,-84.29028
"Panterpe_insignis",9.640031,-83.84825
"Panterpe_insignis",8.845772,-82.5346
"Panterpe_insignis",10.254135,-84.37305
"Panterpe_insignis",10.180609,-84.57752
"Panterpe_insignis",9.666958,-83.87735
"Panterpe_insignis",9.670427,-83.87008
"Panterpe_insignis",8.89653,-82.57265
"Panterpe_insignis",10.157533,-84.22406
"Panterpe_insignis",9.54922,-83.80306
"Panterpe_insignis",9.6795,-83.895775
"Panterpe_insignis",9.588962,-83.80042
"Panterpe_insignis",9.671915,-83.88082
"Panterpe_insignis",9.574683,-83.7571
"Panterpe_insignis",9.955577,-83.84664
"Panterpe_insignis",9.548644,-83.80839
"Panterpe_insignis",9.536807,-83.86023
"Panterpe_insignis",10.105825,-84.10435
"Panterpe_insignis",9.644359,-83.850235
"Panterpe_insignis",9.61612,-83.81264
"Panterpe_insignis",9.633156,-83.85421
"Panterpe_insignis",9.995445,-83.92424
"Panterpe_insignis",9.666839,-83.87118
"Panterpe_insignis",9.587895,-83.79934
"Panterpe_insignis",10.041842,-84.43848
"Panterpe_insignis",10.197995,-84.23076
"Panterpe_insignis",9.554644,-83.689575
"Panterpe_insignis",9.605875,-83.82234
"Panterpe_insignis",9.960213,-83.84474
"Panterpe_insignis",8.80734,-82.53659
"Panterpe_insignis",9.559937,-83.72982
"Panterpe_insignis",9.59685,-83.83265
"Panterpe_insignis",8.852224,-82.57364
"Panterpe_insignis",9.582376,-83.79713
"Panterpe_insignis",10.746901,-85.15741
"Panterpe_insignis",8.843856,-82.51599
"Panterpe_insignis",9.555894,-83.805214
"Panterpe_insignis",9.999996,-83.78497
"Panterpe_insignis",9.558191,-83.724236
"Panterpe_insignis",9.132755,-82.95998
"Panterpe_insignis",9.669995,-83.88643
"Panterpe_insignis",9.957425,-83.84587
"Panterpe_insignis",9.513148,-83.578514
"Panterpe_insignis",9.676202,-83.88724
"Panterpe_insignis",9.513944,-83.57898
"Panterpe_insignis",9.558053,-83.72368
"Panterpe_insignis",9.546673,-83.81168
"Panterpe_insignis",9.34781,-83.37407
"Panterpe_insignis",9.759028,-83.7839
"Panterpe_insignis",10.069009,-84.10373
"Panterpe_insignis",9.615089,-83.80926
"Panterpe_insignis",10.152866,-84.586525
"Panterpe_insignis",10.204303,-84.16159
"Panterpe_insignis",9.635673,-83.8504
"Panterpe_insignis",8.869743,-82.5668
"Panterpe_insignis",8.875105,-82.54732
"Panterpe_insignis",8.838598,-82.47831
"Panterpe_insignis",10.008505,-83.69141
"Panterpe_insignis",8.844453,-82.76055
"Panterpe_insignis",9.462301,-83.70186
"Panterpe_insignis",10.209353,-84.169464
"Panterpe_insignis",8.871037,-82.563225
"Panterpe_insignis",10.104332,-84.078926
"Panterpe_insignis",10.160833,-83.96187
"Panterpe_insignis",10.209499,-84.169754
"Panterpe_insignis",10.162371,-84.22631
"Panterpe_insignis",9.667637,-83.87652
"Panterpe_insignis",8.807429,-82.54101
"Panterpe_insignis",9.55842,-83.72371
"Panterpe_insignis",9.659799,-83.88272
